2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [7.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50306 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [8.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50316 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [9.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50326 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [10.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50332 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [11.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50348 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [12.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50358 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [13.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50370 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [14.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50386 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [15.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50402 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [16.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50404 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [17.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50414 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [18.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50422 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [19.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50436 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [20.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50446 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [21.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50454 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [22.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50466 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [23.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50482 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [24.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50498 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [25.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50504 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [26.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50512 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [27.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50526 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [28.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50534 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:27:03 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [29.0], ret: http://0.0.0.0:7801
2024-08-08 09:27:03 | INFO | stdout | INFO:     127.0.0.1:50548 - "POST /get_worker_address HTTP/1.1" 200 OK
